"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.790172500E0,2.775547555E0,-7.575080157E0,-1.747575066E-1,8.069451270E0
2.800101500E0,2.319833109E0,-6.154824804E0,2.174550082E-1,6.581092668E0
2.810031500E0,1.547773771E0,-4.378240714E0,8.733068007E-1,4.725173030E0
2.819960500E0,7.680037093E-1,-2.472336387E0,1.273121865E0,2.884981142E0
2.829890500E0,5.428011221E-1,-7.321026823E-1,1.446783586E0,1.709909395E0
2.839819500E0,1.030974632E0,7.168430574E-1,1.540008084E0,1.987057513E0
2.849749500E0,1.794687654E0,1.666520634E0,1.294240254E0,2.770063652E0
2.859678500E0,2.520277416E0,1.660864184E0,7.853149760E-1,3.118811905E0
2.869608500E0,3.009308127E0,1.235281317E0,4.358409297E-1,3.282043975E0
2.879537500E0,3.073385425E0,1.240839972E0,4.896164199E-2,3.314781901E0
2.889466500E0,2.517840881E0,1.442415423E0,-5.206395900E-1,2.948075734E0
2.899396500E0,1.757519243E0,1.980059301E0,-8.311752731E-1,2.774952443E0
2.909325500E0,8.478018308E-1,2.659331220E0,-9.184999305E-1,2.938443909E0
2.919255500E0,-2.490276521E-1,3.007971746E0,-1.220332618E0,3.255629047E0
2.929184500E0,-8.966605800E-1,3.516862233E0,-1.872608235E0,4.083990911E0
2.939114500E0,-1.325872521E0,4.096369544E0,-2.813402429E0,5.143288307E0
2.949043500E0,-1.391745499E0,4.614268836E0,-3.250707502E0,5.813392442E0
2.958973500E0,-1.164957731E0,4.627933779E0,-2.852320327E0,5.559732802E0
2.968902500E0,-7.067973948E-1,4.119435348E0,-1.644504259E0,4.491514711E0
2.978831500E0,-3.924481577E-1,3.566716763E0,4.306510873E-3,3.588245055E0
2.988761500E0,-2.126655722E-1,3.170967560E0,1.613208207E0,3.564085104E0
2.998690500E0,-5.258225620E-1,2.957318486E0,2.683970218E0,4.028140778E0
3.008620500E0,-1.098694745E0,3.230205410E0,3.153213952E0,4.645870785E0
3.018549500E0,-1.501340446E0,3.633517109E0,2.934712858E0,4.906017660E0
3.028479500E0,-2.074033704E0,3.633220655E0,1.888941847E0,4.590207995E0
